Array	5654321341	1488837861	REQ	debit	visa	4846********6596	0.1	0	0	11	19	****	000000000007	koesieoekcm				2017-03-06 22:04:21
cloudport	121547856321	1496467724	REQ	debit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport		successful		2017-06-03 05:28:44
cloudport	121547856321	1496467724	RES	debit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport	0000	successful	Bill found. Tracking ID: MTN175932491D8EE25/1664349891	2017-06-03 05:29:13
cloudport	121547856321	1497879484	REQ	debit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport				2017-06-19 13:38:04
cloudport	121547856321	1497879484	RES	debit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport	21VD	failed	Bill not paid...	2017-06-19 13:39:24
cloudport	124578506542	1496466751	REQ	debit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport				2017-06-03 05:12:31
cloudport	124578506542	1496466894	REQ	credit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport				2017-06-03 05:14:54
cloudport	124578506542	1496467672	REQ	credit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport		successful		2017-06-03 05:27:52
cloudport	124578506542	1496467672	RES	credit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport	01	successful	Successfully processed transaction.	2017-06-03 05:27:54
cloudport	124578596542	1496466514	REQ	debit	mtn	0249621938	0.1	0	0					testing on behalf of cloudport				2017-06-03 05:08:34
cloudport	2A6HJDHXALHL	1496444970	REQ	credit	airtel	0269288445	1	0	0									2017-06-02 23:09:30
cloudport	2A6HJDHXALHL	1496444970	RES	credit	airtel	0269288445	1	0	0					Invalid reference provided	116	failed		2017-06-02 23:10:51
cloudport	2N4SX57B6E4F	1496444632	REQ	debit	mtn	0200219320	0.5	0	0									2017-06-02 23:03:52
cloudport	2N4SX57B6E4F	1496444632	RES	debit	mtn	0200219320	0.5	0	0						22VD	failed	Invalid Invoice	2017-06-02 23:04:01
cloudport	32QDK64O6JWP	1496520488	REQ	debit	Visa	4399********3423	1	0	0	11	20	****	6PAGQJQBE4HM	Gomani Test	https://api.gomani.tech/v1/uniwallet/callback	successful		2017-06-03 20:08:08
cloudport	32QDK64O6JWP	1496520488	RES	debit	Visa	4399********3423	1	0	0	11	20	****	6PAGQJQBE4HM	Gomani Test	https://api.gomani.tech/v1/uniwallet/callback	successful	transaction processed successfully	2017-06-03 20:08:12
cloudport	3QKIPHYTHC25	1496519675	REQ	debit	Visa	4399********3423	1	0	0	11	20	****	6LKWWZKVWELR	Gomani Test	https://api.gomani.tech/v1/uniwallet/callback	successful		2017-06-03 19:54:35
cloudport	3QKIPHYTHC25	1496519675	RES	debit	Visa	4399********3423	1	0	0	11	20	****	6LKWWZKVWELR	Gomani Test	https://api.gomani.tech/v1/uniwallet/callback	successful	transaction processed successfully	2017-06-03 19:54:39
cloudport	4FEPIWWPXPGD	1496444595	REQ	debit	mtn	0200219320	0.01	0	0									2017-06-02 23:03:15
cloudport	4FEPIWWPXPGD	1496444595	RES	debit	mtn	0200219320	0.01	0	0						22VD	failed	Invalid Invoice	2017-06-02 23:03:23
cloudport	4VIFMENBH77T	1496522012	REQ	debit	mastercard	5326********2192	1	0	0	08	19	****	VSCOCWY752C4	Gomani Test				2017-06-03 20:33:32
